Date,ADBE,ADSK,ANSS,CRM,CRWD,DDOG,INTU,MDB,MSFT,NOW,ORCL,PANW,SAP,SHOP,SNOW,TEAM
2021-12-08,653.0999755859375,276.2900085449219,,263.5378112792969,209.17999267578125,183.16000366210938,657.054931640625,531.5700073242188,324.71783447265625,,84.38285064697266,88.4383316040039,125.81483459472656,152.0290069580078,370.2799987792969,387.4100036621094
2021-12-09,632.5700073242188,267.6700134277344,,261.56854248046875,201.27000427246094,175.41000366210938,649.6844482421875,513.280029296875,322.9051208496094,,84.22157287597656,87.92166900634766,124.26226806640625,149.4949951171875,361.32000732421875,375.44000244140625
2021-12-10,654.4500122070312,269.0,,263.2607727050781,198.60000610351562,174.55999755859375,661.8286743164062,507.7300109863281,332.05615234375,,97.37141418457031,88.64167022705078,126.62853240966797,146.1580047607422,371.239990234375,372.6199951171875
2021-12-13,658.2999877929688,268.8800048828125,,262.9935607910156,198.67999267578125,172.02999877929688,652.8375854492188,494.92999267578125,329.01226806640625,,95.7205581665039,89.15333557128906,129.02285766601562,139.71499633789062,353.9100036621094,369.92999267578125
2021-12-14,614.8599853515625,263.2200012207031,,252.9293975830078,198.7100067138672,160.77999877929688,624.2735595703125,478.54998779296875,318.2908020019531,,94.77180480957031,85.41666412353516,126.824951171875,135.42799377441406,350.6000061035156,351.739990234375
2021-12-15,630.3300170898438,271.7300109863281,,257.3330993652344,210.7100067138672,171.02000427246094,632.0929565429688,508.4100036621094,324.40765380859375,,98.33914184570312,90.04833221435547,129.45310974121094,136.80799865722656,360.3399963378906,364.42999267578125
2021-12-16,566.0900268554688,269.6099853515625,,250.48512268066406,200.27999877929688,164.0500030517578,618.8847045898438,481.0199890136719,314.9560852050781,,97.9311752319336,87.28500366210938,128.74229431152344,132.68800354003906,324.9800109863281,345.44000244140625
2021-12-17,556.6400146484375,277.6499938964844,,250.29708862304688,205.10000610351562,170.16000366210938,605.520263671875,497.8500061035156,313.8897399902344,,91.66935729980469,88.3566665649414,129.65887451171875,132.33999633789062,332.3299865722656,350.9599914550781
2021-12-20,549.77001953125,275.1199951171875,,244.63662719726562,206.2899932861328,164.3800048828125,590.2521362304688,495.6000061035156,310.1188659667969,,86.94452667236328,88.26499938964844,127.55449676513672,128.2169952392578,331.07000732421875,343.3299865722656
2021-12-21,557.52001953125,280.4200134277344,,249.92105102539062,210.30999755859375,177.49000549316406,606.30126953125,538.4600219726562,317.27294921875,,86.82118225097656,89.6050033569336,128.5271759033203,137.01100158691406,354.82000732421875,380.6300048828125
